Name,Time
COMP1000,"Tue 16:00 - 19:00 (Weeks:1-5,6-12)"
COMP1400,"Tue 16:00 - 17:00 (Weeks:1-9,10-12), Wed 12:00 - 13:00 (Weeks:1-9,10-12)"
COMP1511,"Tue 09:00 - 11:00 (Weeks:1-9,10-12), Wed 15:00 - 17:00 (Weeks:1-9,10-12)"
COMP1521,"Tue 14:00 - 16:00 (Weeks:1-9,10-12), Wed 16:00 - 18:00 (Weeks:1-9,10-12)"
COMP1531,"Wed 10:00 - 12:00 (Weeks:1-9,10-12), Fri 14:00 - 16:00 (Weeks:1-9,10-12)"
COMP1911,"Tue 13:00 - 15:00 (Weeks:1-5,6-12), Wed 14:00 - 16:00 (Weeks:1-5,6-7,9-13)"
COMP2041,"Tue 16:00 - 18:00 (Weeks:1-9,10-12), Thu 17:00 - 18:00 (Weeks:1-9,10-12)"
COMP2111,"Wed 13:00 - 15:00 (Weeks:1-5,6-12), Fri 15:00 - 17:00 (Weeks:1-5,6-12)"
COMP2121,"Wed 15:00 - 17:00 (Weeks:1-9,10-12), Thu 11:00 - 12:00 (Weeks:1-9,10-12)"
COMP2511,"Wed 13:00 - 15:00 (Weeks:1-9,10-12), Fri 10:00 - 12:00 (Weeks:1-9,10-12)"
COMP2521,"Mon 12:00 - 14:00 (Weeks:1-9,10-12), Thu 09:00 - 11:00 (Weeks:1-9,10-12)"
COMP3121,"Mon 12:00 - 14:00 (Weeks:1-5,6-12), Tue 15:00 - 16:00 (Weeks:1-5,6-12)"
COMP3131,"Mon 18:00 - 21:00 (Weeks:1-5,6-12)"
COMP3141,"Mon 09:00 - 11:00 (Weeks:1-5,6-12), Thu 14:00 - 15:00 (Weeks:1-5,6-12)"
COMP3153,"Mon 15:00 - 17:00 (Weeks:1-5,6-12), Wed 12:00 - 13:00 (Weeks:1-5,6-12)"
COMP3161,"Tue 14:00 - 16:00 (Weeks:1-9,10-12), Thu 14:00 - 15:00 (Weeks:1-9,10-12), Thu 15:00 - 16:00 (Weeks:1-9,10-12)"
COMP3211,"Wed 09:00 - 11:00 (Weeks:1-5,6-12), Thu 13:00 - 14:00 (Weeks:1-5,6-12)"
COMP3222,"Tue 09:00 - 11:00 (Weeks:1-9,10-12), Thu 13:00 - 14:00 (Weeks:1-9,10-12)"
COMP3231,"Mon 15:00 - 17:00 (Weeks:1-5,6-12), Wed 15:00 - 16:00 (Weeks:1-5,6-12)"
COMP3311,"Tue 13:00 - 15:00 (Weeks:1-5,6-12), Thu 09:00 - 11:00 (Weeks:1-5,6-12)"
COMP3331,"Tue 12:00 - 14:00 (Weeks:1-9,10-12), Wed 12:00 - 13:00 (Weeks:1-9,10-12)"
COMP3411,"Thu 18:00 - 20:00 (Weeks:1-5,6-12)"
COMP3421,"Mon 12:00 - 15:00 (Weeks:1-9,11-13)"
COMP3431,"Mon 12:00 - 14:00 (Weeks:1-9,10-12), Wed 12:00 - 14:00 (Weeks:1-9,10-12)"
COMP3511,"Tue 15:00 - 18:00 (Weeks:1-9,10-12)"
COMP3601,"Mon 16:00 - 18:00 (Weeks:1-9,10-12), Thu 17:00 - 18:00 (Weeks:1-9,10-12)"
COMP3821,"Mon 12:00 - 14:00 (Weeks:1-5,6-12), Tue 15:00 - 16:00 (Weeks:1-5,6-12)"
COMP3891,"Mon 15:00 - 17:00 (Weeks:1-5,6-12), Wed 15:00 - 16:00 (Weeks:1-5,6-12)"
COMP3900,"Tue 10:00 - 12:00 (Weeks:1-9,10-12)"
COMP4121,"Wed 10:00 - 11:30 (Weeks:1-9,10-12), Fri 09:00 - 10:30 (Weeks:1-9,10-12)"
COMP4128,"Mon 14:00 - 16:00 (Weeks:1-5,6-12)"
COMP4161,"Tue 09:00 - 10:30 (Weeks:1-9,10-12), Fri 10:30 - 12:00 (Weeks:1-9,10-12)"
COMP4336,"Tue 15:00 - 18:00 (Weeks:1-9,10-12)"
COMP4337,"Wed 12:00 - 15:00 (Weeks:2-5,6-13)"
COMP4418,"Mon 15:00 - 18:00 (Weeks:1-4,6-9,10-13)"
COMP4511,"Mon 09:00 - 11:00 (Weeks:1,3,5,7,9,11-12)"
COMP4601,"Tue 09:00 - 12:00 (Weeks:1-5,6-12)"
