Course Staff, Course Code,Semester,Course Name  
John Shepherd,COMP3311 , 19T1 , Database Systems
John Shepherd,COMP2521 , 19T0 , Data Structures and Algorithms
Jashank Jeremy,COMP2521 , 19T0 , Data Structures and Algorithms
Tatjana Zrimec,COMP1400 , 18s2 , Programming for Designers
Curtis Millar,COMP1511 , 18s2 , Introduction to Programming
Ashesh Mahidadia,COMP1511 , 18s2 , Introduction to Programming
Andrew Bennett,COMP1511 , 18s2 , Introduction to Programming
Mei Cheng Whale,COMP1511 , 18s2 , Introduction to Programming
Wael Alghamdi,COMP1521 , 18s2 , Computer Systems Fundamentals
John Shepherd,COMP1521 , 18s2 , Computer Systems Fundamentals
Jashank Jeremy,COMP1521 , 18s2 , Computer Systems Fundamentals
Anna Azzam,COMP1531 , 18s2 , Software Engineering Fundamentals
Isaac Carr,COMP1531 , 18s2 , Software Engineering Fundamentals
Aarthi Natarajan,COMP1531 , 18s2 , Software Engineering Fundamentals
I Su Park,COMP1531 , 18s2 , Software Engineering Fundamentals
Robert Clifton-Everest,COMP1531 , 18s2 , Software Engineering Fundamentals
Hasindu Gamaarachchi,COMP2121 , 18s2 , Microprocessors and Interfacing
Hui Wu,COMP2121 , 18s2 , Microprocessors and Interfacing
Robert Clifton-Everest,COMP2511 , 18s2 , Object-Oriented Design & Programming
Aarthi Natarajan,COMP2511 , 18s2 , Object-Oriented Design & Programming
Anna Azzam,COMP2511 , 18s2 , Object-Oriented Design & Programming
Ashesh Mahidadia,COMP2521 , 18s2 , Data Structures and Algorithms
Zain Afzal,COMP2521 , 18s2 , Data Structures and Algorithms
Oliver Diessel,COMP3222 , 18s2 , Digital Circuits and Systems
Nadeem Ahmed,COMP3331 , 18s2 , Computer Networks and Applications
Ali Dorri,COMP3331 , 18s2 , Computer Networks and Applications
Mahbub Hassan,COMP3331 , 18s2 , Computer Networks and Applications
Salil Kanhere,COMP3331 , 18s2 , Computer Networks and Applications
Robert Clifton-Everest,COMP3421 , 18s2 , Computer Graphics
Addo Wondo,COMP3431 , 18s2 , Robot Software Architectures
Colm Flanagan,COMP3431 , 18s2 , Robot Software Architectures
Peter Timothy Kydd,COMP3431 , 18s2 , Robot Software Architectures
Claude Sammut,COMP3431 , 18s2 , Robot Software Architectures
Haris Aziz,COMP4418 , 18s2 , Knowledge Representation and Reasoning
Maurice Pagnucco,COMP4418 , 18s2 , Knowledge Representation and Reasoning
David Rajaratnam,COMP4418 , 18s2 , Knowledge Representation and Reasoning
Christoph Schwering,COMP4418 , 18s2 , Knowledge Representation and Reasoning
Tim Boyce,COMP6445 , 18s2 , Digital Forensics and Incident Response
Roland Wen,COMP6445 , 18s2 , Digital Forensics and Incident Response
Nina Rodgers,COMP6445 , 18s2 , Digital Forensics and Incident Response
Richard Buckland,COMP6445 , 18s2 , Digital Forensics and Incident Response
Tek Huynh,COMP6445 , 18s2 , Digital Forensics and Incident Response
Sketch,COMP6445 , 18s2 , Digital Forensics and Incident Response
Nina Rodgers,COMP6447 , 18s2 , System and Software Security Assessment
Thomas Phillips,COMP6447 , 18s2 , System and Software Security Assessment
Sean Yeoh,COMP6447 , 18s2 , System and Software Security Assessment
Tek Huynh,COMP6447 , 18s2 , System and Software Security Assessment
Richard Buckland,COMP6447 , 18s2 , System and Software Security Assessment
Salil Kanhere,COMP6733 , 18s2 , Internet of Things Design Studio
Serge Gaspers,COMP6741 , 18s2 , Parameterized and Exact Computation
Paul Hunter,COMP9020 , 18s2 , Foundations of Computer Science
Michael Schofield,COMP9024 , 18s2 , Data Structures and Algorithms
Michael Thielscher,COMP9024 , 18s2 , Data Structures and Algorithms
Hui Guo,COMP9032 , 18s2 , Microprocessors and Interfacing
Mohammad Ebrahimi,COMP9311 , 18s2 , Database Systems
Rachid Hamadi,COMP9311 , 18s2 , Database Systems
Xin Cao,COMP9313 , 18s2 , Big Data Management
Jashank Jeremy,COMP9315 , 18s2 , DBMS Implementation
John Shepherd,COMP9315 , 18s2 , DBMS Implementation
Raymond Wong,COMP9319 , 18s2 , Web Data Compression and Search
Mohammadali Yaghoubzadehfard,COMP9321 , 18s2 , Data Services Engineering
Morty Al-Banna,COMP9321 , 18s2 , Data Services Engineering
Boualem Benatallah,COMP9323 , 18s2 , Software as a Service Project
Morty Al-Banna,COMP9323 , 18s2 , Software as a Service Project
Astrid Dahl,COMP9418 , 18s2 , Advanced Topics In Statistical Machine Learning
Amir Dezfouli,COMP9418 , 18s2 , Advanced Topics In Statistical Machine Learning
Edwin Bonilla,COMP9418 , 18s2 , Advanced Topics In Statistical Machine Learning
Alexander Long,COMP9444 , 18s2 , Neural Networks and Deep Learning
Alan Blair,COMP9444 , 18s2 , Neural Networks and Deep Learning
Xiongcai Cai,COMP9517 , 18s2 , Computer Vision
Manna Elizabeth Philip,COMP9517 , 18s2 , Computer Vision
Arcot Sowmya,COMP9517 , 18s2 , Computer Vision
Annette Spooner,COMP9517 , 18s2 , Computer Vision
Rachid Hamadi,COMP9900 , 18s2 , Information Technology Project
Wael Alghamdi,COMP9900 , 18s2 , Information Technology Project
Ashesh Mahidadia,ENGG1811 , 18s2 , Computing for Engineers 
Mei Cheng Whale,ENGG1811 , 18s2 , Computing for Engineers 
Chun Tung Chou,ENGG1811 , 18s2 , Computing for Engineers 
Victor Jauregui,GSOE9210 , 18s2 , Engineering Decisions
Albert Nymeyer,SENG2011 , 18s2 , Software Engineering Workshop 2A
Vintony Padmadiredja,SENG2011 , 18s2 , Software Engineering Workshop 2A
Ben Delaney,SENG2011 , 18s2 , Software Engineering Workshop 2A
Timothy Hor,SENG2011 , 18s2 , Software Engineering Workshop 2A
Lam Bao Quynh VO,SENG2011 , 18s2 , Software Engineering Workshop 2A
Addo Wondo,SENG2011 , 18s2 , Software Engineering Workshop 2A
Carroll Morgan,SENG2011 , 18s2 , Software Engineering Workshop 2A
Aarthi Natarajan,COMP1000 , 18s1 , Web Spreadsheets and Databases
Ali Darejeh,COMP1000 , 18s1 , Web Spreadsheets and Databases
Isaac Carr,COMP1000 , 18s1 , Web Spreadsheets and Databases
Ashesh Mahidadia,COMP1511 , 18s1 , Programming Fundamentals
Mei Cheng Whale,COMP1511 , 18s1 , Programming Fundamentals
John Shepherd,COMP1511 , 18s1 , Programming Fundamentals
Andrew Bennett,COMP1511 , 18s1 , Programming Fundamentals
Andrew Taylor,COMP1511 , 18s1 , Programming Fundamentals
Steven Parker,COMP1521 , 18s1 , Computer Systems Fundamentals
Mei Cheng Whale,COMP1521 , 18s1 , Computer Systems Fundamentals
John Shepherd,COMP1521 , 18s1 , Computer Systems Fundamentals
